TEMPO_VIVE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;AUXILIO_BRASIL;POP_RUA;GRAU_INSTRUCAO;COR_RACA;Faixa da renda familiar per capita;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Ate seis meses;Toda semana;08/02/1973;49;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$105.00;500;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Todo ano;10/04/1990;31;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Todo ano;12/06/1984;37;MASCULINO;SIM;SIM;Medio incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Ate seis meses;Toda semana;23/08/1983;38;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Quase nunca;17/03/1969;52;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Nunca;12/09/1996;25;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$105.00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;04/02/1992;30;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$105.00;0;ENDERECO NAO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Todo mes;06/05/1972;49;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;22/01/1957;65;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;90;ENDERECO NAO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;01/03/2022
Entre um e dois anos;Nunca;14/04/1970;51;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Todo dia;04/06/1979;42;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;100;ENDERECO NAO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Nunca;11/09/1976;45;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;02/10/1971;50;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Nunca;29/06/1986;35;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre um e dois anos;Quase nunca;29/08/1973;48;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Toda semana;10/02/1987;35;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Todo mes;12/06/1989;32;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$105.00;60;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Mais de dez anos;Todo dia;24/06/1978;43;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$105.00;200;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;15/04/1967;54;FEMININO;SIM;SIM;Superior incompleto ou mais;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Quase nunca;20/05/1958;63;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;18/03/1992;29;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;12/10/1967;54;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;50;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Toda semana;09/12/1993;28;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;04/04/1966;55;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;29/05/1983;38;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;13/09/1966;55;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$105.00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Todo mes;18/02/1972;50;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;100;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;17/07/1978;43;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;07/01/1970;52;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Todo ano;27/03/1989;32;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;13/04/1968;53;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Entre um e dois anos;Nunca;18/01/1990;32;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$105.00;500;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;15/01/1978;44;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
